long  lat survivors
24.0  54.9   340000
24.5  55.0   340000
25.5  54.5   340000
26.0  54.7   320000
27.0  54.8   300000
28.0  54.9   280000
28.5  55.0   240000
29.0  55.1   210000
30.0  55.2   180000
30.3  55.3   175000
32.0  54.8   145000
33.2  54.9   140000
34.4  55.5   127100
35.5  55.4   100000
36.0  55.5   100000
37.6  55.8   100000
37.7  55.7   100000
37.5  55.7    98000
37.0  55.0    97000
36.8  55.0    96000
35.4  55.3    87000
34.3  55.2    55000
33.3  54.8    37000
32.0  54.6    24000
30.4  54.4    20000
29.2  54.3    20000
28.5  54.2    20000
28.3  54.3    20000
27.5  54.5    20000
26.8  54.3    12000
26.4  54.4    14000
25.0  54.4     8000
24.4  54.4     4000
24.2  54.4     4000
24.1  54.4     4000
24.0  55.1    60000
24.5  55.2    60000
25.5  54.7    60000
26.6  55.7    40000
27.4  55.6    33000
28.7  55.5    33000
28.7  55.5    33000
29.2  54.2    30000
28.5  54.1    30000
28.3  54.2    28000
24.0  55.2    22000
24.5  55.3    22000
24.6  55.8     6000
24.6  55.8     6000
24.2  54.4     6000
24.1  54.4     6000
